start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialProximal,RadialProximal,TI_Map_6
VolarDistal,VolarDistal,TI_Music_3
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarProximal,VolarProximal,TI_Apps_4
RadialDistal,RadialIntermediate,Reply_5
RadialDistal,RadialIntermediate,SpeechToText_5
RadialDistal,RadialIntermediate,Send_5
RadialDistal,RadialIntermediate,Keyboard_5
RadialDistal,RadialIntermediate,ContactList_5
RadialIntermediate,RadialDistal,MuteMic_1
RadialIntermediate,RadialDistal,CallingPerson_1
RadialIntermediate,RadialDistal,CallReject_1
RadialIntermediate,RadialDistal,CallAccept_1
RadialIntermediate,RadialDistal,CallReply_1
RadialProximal,RadialDistal,Destination_6
RadialProximal,RadialDistal,Search_6
RadialProximal,RadialDistal,Home_6
RadialProximal,RadialDistal,Recenter_6
RadialProximal,RadialDistal,Work_6
VolarDistal,RadialDistal,NextSong_3
VolarDistal,RadialDistal,VolumePlus_3
VolarDistal,RadialDistal,Play_3
VolarDistal,RadialDistal,Pause_3
VolarDistal,RadialDistal,VolumeMinus_3
VolarIntermediate,RadialDistal,AC_2
VolarIntermediate,RadialDistal,Heater_2
VolarIntermediate,RadialDistal,CarSeatHeater_2
VolarIntermediate,RadialDistal,Air_2
VolarIntermediate,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,Radio_4
VolarProximal,RadialDistal,Whatsapp_4
VolarProximal,RadialDistal,Podcast_4
VolarProximal,RadialDistal,Instagram_4
VolarProximal,RadialDistal,Spotify_4
