start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Climate_2
RadialIntermediate,RadialIntermediate,TI_Map_6
RadialProximal,RadialProximal,TI_Music_3
VolarDistal,VolarDistal,TI_Chats_5
VolarIntermediate,VolarIntermediate,TI_Apps_4
VolarProximal,VolarProximal,TI_Call_1
RadialDistal,RadialIntermediate,Air_2
RadialDistal,RadialIntermediate,SteeringHeater_2
RadialDistal,RadialIntermediate,Heater_2
RadialDistal,RadialIntermediate,CarSeatHeater_2
RadialDistal,RadialIntermediate,AC_2
RadialIntermediate,RadialDistal,Home_6
RadialIntermediate,RadialDistal,Destination_6
RadialIntermediate,RadialDistal,Search_6
RadialIntermediate,RadialDistal,Recenter_6
RadialIntermediate,RadialDistal,Work_6
RadialProximal,RadialDistal,VolumePlus_3
RadialProximal,RadialDistal,NextSong_3
RadialProximal,RadialDistal,Play_3
RadialProximal,RadialDistal,VolumeMinus_3
RadialProximal,RadialDistal,Pause_3
VolarDistal,RadialDistal,ContactList_5
VolarDistal,RadialDistal,SpeechToText_5
VolarDistal,RadialDistal,Send_5
VolarDistal,RadialDistal,Reply_5
VolarDistal,RadialDistal,Keyboard_5
VolarIntermediate,RadialDistal,Whatsapp_4
VolarIntermediate,RadialDistal,Radio_4
VolarIntermediate,RadialDistal,Podcast_4
VolarIntermediate,RadialDistal,Instagram_4
VolarIntermediate,RadialDistal,Spotify_4
VolarProximal,RadialDistal,CallReject_1
VolarProximal,RadialDistal,CallAccept_1
VolarProximal,RadialDistal,CallingPerson_1
VolarProximal,RadialDistal,MuteMic_1
VolarProximal,RadialDistal,CallReply_1
