start_region,end_region,letter_association
RadialDistal,RadialDistal,Call
RadialDistal,RadialIntermediate,Call_Accept
RadialDistal,RadialProximal,Call_Reject
RadialDistal,VolarIntermediate,Mute_Mic
RadialDistal,VolarDistal,Call_Reply
RadialDistal,VolarProximal,Calling_Person
RadialIntermediate,RadialDistal,AC
RadialIntermediate,RadialIntermediate,Climate
RadialIntermediate,RadialProximal,Air
RadialIntermediate,VolarIntermediate,Car_Seat_Heater
RadialIntermediate,VolarProximal,Steering_Heater
RadialIntermediate,VolarDistal,Heater
RadialProximal,RadialDistal,Volume_Plus
RadialProximal,RadialIntermediate,Volume_Minus
RadialProximal,RadialProximal,Music
RadialProximal,VolarIntermediate,Next_Song
RadialProximal,VolarDistal,Pause
RadialProximal,VolarProximal,Play
VolarDistal,RadialDistal,Instagram
VolarDistal,RadialIntermediate,Podcast
VolarDistal,RadialProximal,Radio
VolarDistal,VolarDistal,Apps
VolarDistal,VolarIntermediate,Whatsapp
VolarDistal,VolarProximal,Spotify
VolarIntermediate,RadialDistal,Contact_List
VolarIntermediate,RadialIntermediate,Keyboard
VolarIntermediate,RadialProximal,Reply
VolarIntermediate,VolarIntermediate,Chats
VolarIntermediate,VolarDistal,Send
VolarIntermediate,VolarProximal,Speech_To_Text
VolarProximal,RadialDistal,Recenter
VolarProximal,RadialIntermediate,Destination
VolarProximal,RadialProximal,Home
VolarProximal,VolarIntermediate,Search
VolarProximal,VolarDistal,Work
VolarProximal,VolarProximal,Map
